longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,rooms_per_household,bedrooms_per_room,population_per_household
-119.79,36.73,52.0,112.0,28.0,193.0,40.0,1.975,47500.0,True,False,False,False,2.8,0.25,4.825
-122.21,37.77,43.0,1017.0,328.0,836.0,277.0,2.2604,100000.0,False,False,True,False,3.6714801444043323,0.3225172074729597,3.0180505415162453
-118.04,33.87,17.0,2358.0,396.0,1387.0,364.0,6.299,285800.0,False,False,False,False,6.478021978021978,0.16793893129770993,3.8104395604395602
-119.81,36.73,50.0,772.0,194.0,606.0,167.0,2.2206,59200.0,True,False,False,False,4.622754491017964,0.25129533678756477,3.62874251497006
-117.8,33.81,14.0,1206.0,142.0,572.0,149.0,8.847,388700.0,False,False,False,False,8.093959731543624,0.11774461028192372,3.838926174496644
-121.26,38.69,17.0,3917.0,638.0,1809.0,564.0,5.2586,137000.0,True,False,False,False,6.945035460992908,0.16287975491447537,3.2074468085106385
-117.65,33.48,6.0,1638.0,188.0,572.0,174.0,13.0502,500001.0,False,False,False,False,9.413793103448276,0.11477411477411477,3.2873563218390807
-121.9,37.44,4.0,1646.0,408.0,853.0,410.0,5.0821,265500.0,False,False,False,False,4.014634146341463,0.24787363304981774,2.080487804878049
-118.15,34.05,31.0,3362.0,799.0,1939.0,754.0,3.5089,305800.0,False,False,False,False,4.458885941644563,0.23765615704937537,2.5716180371352784
-121.33,38.64,27.0,2203.0,493.0,1158.0,492.0,2.4342,119500.0,True,False,False,False,4.477642276422764,0.22378574670903315,2.3536585365853657
-115.99,33.4,15.0,1945.0,536.0,515.0,273.0,2.0109,54300.0,True,False,False,False,7.124542124542124,0.27557840616966583,1.8864468864468864
-117.09,32.68,20.0,2569.0,737.0,2341.0,705.0,2.0114,104900.0,False,False,False,True,3.6439716312056736,0.28688205527442584,3.3205673758865246
-118.14,34.7,12.0,1984.0,614.0,1071.0,574.0,1.2532,102100.0,True,False,False,False,3.456445993031359,0.3094758064516129,1.8658536585365855
-120.9,38.2,16.0,3120.0,641.0,1319.0,526.0,2.0472,93200.0,True,False,False,False,5.931558935361217,0.20544871794871794,2.5076045627376424
-121.51,38.5,25.0,4719.0,745.0,1857.0,739.0,5.0371,180200.0,True,False,False,False,6.385656292286874,0.15787243059970332,2.512855209742896
-117.32,34.14,32.0,1691.0,353.0,1457.0,329.0,1.8438,66600.0,True,False,False,False,5.139817629179332,0.20875221762270846,4.428571428571429
-117.34,34.13,29.0,331.0,85.0,341.0,107.0,0.7069,70300.0,True,False,False,False,3.0934579439252334,0.256797583081571,3.1869158878504673
-118.27,34.08,38.0,2265.0,801.0,2899.0,792.0,2.5521,157500.0,False,False,False,False,2.859848484848485,0.3536423841059603,3.6603535353535355
-120.84,38.77,11.0,1013.0,188.0,410.0,158.0,4.825,184600.0,True,False,False,False,6.4113924050632916,0.1855873642645607,2.5949367088607596
-120.38,36.76,12.0,932.0,244.0,1043.0,243.0,1.4038,54300.0,True,False,False,False,3.8353909465020575,0.26180257510729615,4.292181069958848
-118.2,33.93,41.0,857.0,201.0,934.0,227.0,2.6339,145700.0,False,False,False,False,3.7753303964757707,0.23453908984830804,4.11453744493392
-121.52,38.57,43.0,2360.0,471.0,1041.0,452.0,2.89,86200.0,True,False,False,False,5.221238938053097,0.19957627118644067,2.3030973451327434
-117.54,33.82,6.0,202.0,29.0,75.0,28.0,4.125,216700.0,True,False,False,False,7.214285714285714,0.14356435643564355,2.6785714285714284
-121.33,37.98,9.0,2370.0,424.0,1129.0,386.0,5.143,176500.0,True,False,False,False,6.139896373056994,0.17890295358649788,2.9248704663212437
-119.29,36.53,33.0,1509.0,352.0,1734.0,336.0,1.625,50300.0,True,False,False,False,4.491071428571429,0.2332670642809808,5.160714285714286
-119.83,36.8,24.0,3756.0,681.0,1586.0,739.0,3.8571,90100.0,True,False,False,False,5.08254397834912,0.18130990415335463,2.1461434370771313
-118.12,34.09,25.0,3603.0,1003.0,2719.0,913.0,2.6981,208000.0,False,False,False,False,3.9463307776560788,0.2783791285040244,2.978094194961665
-118.31,33.67,42.0,1297.0,246.0,611.0,242.0,5.3074,401900.0,False,False,False,True,5.359504132231405,0.18966846569005397,2.524793388429752
-118.24,34.11,50.0,2141.0,451.0,1777.0,426.0,2.7679,178800.0,False,False,False,False,5.025821596244131,0.21064922933208782,4.171361502347418
-122.27,38.31,44.0,3030.0,589.0,1373.0,582.0,2.9054,155200.0,False,False,True,False,5.206185567010309,0.19438943894389438,2.359106529209622
-117.62,33.77,43.0,1911.0,439.0,930.0,433.0,4.6369,186400.0,False,False,False,False,4.413394919168591,0.22972265829408686,2.147806004618938
-121.95,37.28,52.0,777.0,148.0,362.0,144.0,4.0208,262500.0,False,False,False,False,5.395833333333333,0.19047619047619047,2.513888888888889
-117.88,33.87,21.0,1519.0,388.0,1203.0,366.0,3.2083,145300.0,False,False,False,False,4.1502732240437155,0.2554312047399605,3.2868852459016393
-117.68,35.63,18.0,4334.0,641.0,1777.0,661.0,6.0653,105300.0,True,False,False,False,6.556732223903177,0.14790032302722658,2.6883509833585477
-121.92,37.3,35.0,1335.0,296.0,635.0,296.0,3.6053,345800.0,False,False,False,False,4.510135135135135,0.22172284644194756,2.14527027027027
